                CONFIDENTIAL     6,,,,,,,,,,,,,,,,,,,,,,,,,,,
190??5ul OD???,,,,,,??/Code?GS-SOP-POLG010D-04,,,,,,,,,,,,,,,,,,,,,
,,,,,,???/Supersedes: GS-Q4-POLG010-04,,,,,??/Page?1/1,,,,,,,,,,,,,,,,
??/Prepared by????,,,??/Approved by????,,,????/Effective date?07242014,,,,,,,,,,,,,,,,,,,,,
SPECTRA MAX 190 ?? OD???,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PlateNo.(??):,,,,??,,nmol Values(nmol),,,,,,,,,,,,,,,,,,
,,,0224D3,,,,??,4,??5.5?????,,,,,,,,,,,,,,,,,,
,,,,,,,Volume,150,,,,,,,,,,,,,,,,,,,
???,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,0.6,,,,,,,,,,,
A,0.0859,0.0706,0.068,0.0874,0.0844,0.0636,0.0784,0.0893,0.1048,0.1114,0.1305,0.1129,0.0906,,,76.06%,62.51%,60.21%,77.39%,74.73%,56.31%,52.60%,63.52%,74.54%,79.24%,91.48%,75.75%
B,0.11,0.1461,0.1367,0.1382,0.1624,0.1367,0.1393,0.1278,0.1367,0.128,0.1455,0.13,0.13645,,,73.80%,99.46%,91.72%,92.72%,108.96%,91.72%,93.46%,85.74%,91.72%,85.88%,97.62%,87.22%
C,0.1554,0.1211,0.1427,0.1559,0.1468,0.1349,0.1297,0.1015,0.1151,0.1103,0.1049,0.1083,0.127216667,,,104.26%,81.25%,95.74%,104.60%,98.49%,90.51%,87.02%,68.10%,77.22%,78.45%,74.61%,77.03%
D,0.1033,0.1122,0.1085,0.1332,0.1251,0.1327,0.1094,0.1337,0.1293,0.148,0.127,0.1199,0.123525,,,70.33%,75.28%,72.80%,89.37%,83.93%,89.03%,73.40%,89.70%,86.75%,99.30%,85.21%,80.44%
E,0.1137,0.098,0.1092,0.1213,0.1438,0.1325,0.1103,0.1106,0.1388,0.1065,0.0973,0.0981,0.115008333,,,73.01%,66.72%,74.34%,82.58%,97.90%,90.20%,75.09%,75.30%,94.49%,72.50%,66.24%,66.79%
