,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,CONFIDENTIAL,,,,
     192???????(??,,,,,,,,,,??/Code?GS-SOP-POLG052A-01,,,,,,
,,,,,,,,,,???/Supersedes:/     ,,,??/Page?1/1,,,
??/Prepared by???,,,,??/Approved by????,,,,,????/Effective date?05082014,,,,,,,
???:?,,,,,,,,,,,,,,,,
????,1113P2,,,,,,,,,,,,,,,
????,??,BP,OD,??,MW,??,??,,????,??,BP,OD,??,MW,??,??
512828_30,,55,0.06,1,16853,A01,; **1-16*15-30*29-44*43-58**,,512889_3,,58,0.06,1,17819.6,E01,????  High Priority  Minigene; **1-14*13-28**
512828_31,,55,0.06,1,17016.1,A02,,,512889_4,,59,0.07,1,18138.8,E02,
512828_32,,59,0.07,1,18118.9,A03,,,512889_5,,59,0.07,1,18221.8,E03,
512828_33,,59,0.07,1,18170.9,A04,,,512889_6,,59,0.07,1,18289.8,E04,
512828_34,,59,0.07,1,18174.9,A05,,,512889_7,,59,0.07,1,18048.6,E05,
512828_35,,59,0.07,1,18145.9,A06,,,512889_8,,59,0.07,1,18204.9,E06,
512828_36,,57,0.06,1,17427.5,A07,,,512889_9,,59,0.07,1,18175.8,E07,
512828_37,,59,0.07,1,18402.1,A08,,,512889_10,,59,0.07,1,18216.9,E08,
512828_38,,59,0.07,1,17990.7,A09,,,512889_11,,59,0.07,1,18116.7,E09,
512828_39,,59,0.07,1,18087.8,A10,,,512889_12,,58,0.07,1,17929.7,E10,
512828_40,,59,0.07,1,18143.9,A11,,,512889_13,,59,0.07,1,18147.8,E11,
512828_41,,59,0.07,1,18202.9,A12,,,512889_14,,59,0.07,1,18158.8,E12,
512828_42,,59,0.07,1,18032.8,B01,,,512889_15,,59,0.07,1,18176.8,F01,
512828_43,,59,0.07,1,18132.9,B02,,,512889_16,,59,0.07,1,18213.9,F02,
512828_44,,56,0.06,1,17008.1,B03,,,512889_17,,59,0.07,1,18109.8,F03,
512828_45,,59,0.07,1,18266,B04,,,512889_18,,59,0.07,1,18235.9,F04,
512828_46,,58,0.06,1,17666.6,B05,,,512889_19,,59,0.07,1,18201.9,F05,
512828_47,,59,0.07,1,18102.9,B06,,,512889_20,,59,0.07,1,18075.8,F06,
512828_48,,59,0.07,1,18191.9,B07,,,512889_21,,59,0.07,1,18220.8,F07,
512828_49,,59,0.07,1,18318,B08,,,512889_22,,59,0.07,1,18355.9,F08,
512828_50,,59,0.07,1,18200.9,B09,,,512889_23,,59,0.07,1,18108.8,F09,
512828_51,,59,0.07,1,18274,B10,,,512889_24,,59,0.07,1,18161.9,F10,
512828_52,,59,0.07,1,18076.8,B11,,,512889_25,,59,0.07,1,18418,F11,
512828_53,,59,0.07,1,18212.9,B12,,,512889_26,,59,0.07,1,18077.7,F12,
512828_54,,59,0.07,1,18139.9,C01,,,512889_27,,59,0.07,1,18241.9,G01,
512828_55,,59,0.07,1,18097.8,C02,,,512889_28,,59,0.07,1,18052.7,G02,
512828_56,,59,0.07,1,18113.9,C03,,,512902_1,,59,0.07,1,18441,G03,????  High Priority  Minigene; **1-12*11-22**
512828_57,,59,0.07,1,18172.9,C04,,,512902_2,,55,0.06,1,16828.9,G04,
512828_58,,59,0.07,1,18190.9,C05,,,512902_3,,55,0.06,1,17142.1,G05,
512833_1,,67,1.5,1,20689.5,C06,,,512902_4,,55,0.06,1,16924.9,G06,
512885_1,,62,0.07,1,18998.5,C07,**1-16**,,512902_5,,55,0.06,1,16856.9,G07,
512885_2,,62,0.07,1,19222.5,C08,,,512902_6,,55,0.06,1,16955.9,G08,
512885_3,,62,0.07,1,19120.5,C09,,,512902_7,,55,0.06,1,17007.9,G09,
512885_4,,60,0.07,1,18465,C10,,,512902_8,,55,0.06,1,16744.8,G10,
512885_5,,54,0.06,1,16714.9,C11,,,512902_9,,55,0.06,1,17034,G11,
512885_6,,62,0.07,1,18809.2,C12,,,512902_10,,55,0.06,1,16991.9,G12,
512885_7,,57,0.06,1,17673.5,D01,,,512902_11,,56,0.06,1,17198.1,H01,
512885_8,,67,0.07,1,20440.3,D02,,,512902_12,,55,0.06,1,16907,H02,
512885_9,,51,0.06,1,15763.4,D03,,,512902_13,,55,0.06,1,16885,H03,
512885_10,,50,0.06,1,15288.9,D04,,,512902_14,,55,0.06,1,16869.9,H04,
512885_11,,57,0.06,1,17677.6,D05,,,512902_15,,55,0.06,1,17002.1,H05,
512885_12,,62,0.07,1,19055.4,D06,,,512902_16,,55,0.06,1,16797.9,H06,
512885_13,,58,0.07,1,17948.7,D07,,,512902_17,,55,0.06,1,16974,H07,
512885_14,,62,0.07,1,18973.3,D08,,,512902_18,,55,0.06,1,17003.1,H08,
512885_15,,62,0.07,1,19223.5,D09,,,512902_19,,55,0.06,1,16775,H09,
512885_16,,62,0.07,1,19122.4,D10,,,512902_20,,55,0.06,1,16868,H10,
512889_1,,59,0.07,1,18224.8,D11,????  High Priority  Minigene; **1-14*13-28**,,512902_21,,55,0.06,1,16993.1,H11,
512889_2,,55,0.06,1,16983,D12,,,512902_22,,56,0.06,1,17271.2,H12,
,,,,,,,,????:GS-SOP-POLG052_192???????SOP,,,,,,,,
